Date,Open,High,Low,Close,Adjclose,Volume
2023-01-01,0.038462,0.039739,0.038280,0.039411,0.039411,2444991
2023-01-02,0.039373,0.040338,0.039012,0.039299,0.039299,2977728
2023-01-03,0.039294,0.039476,0.038836,0.039003,0.039003,2283884
2023-01-04,0.039000,0.040326,0.038932,0.039358,0.039358,3154344
2023-01-05,0.039350,0.039693,0.038635,0.038856,0.038856,2094343
2023-01-06,0.038861,0.040736,0.038842,0.040282,0.040282,2700530
2023-01-07,0.040275,0.041096,0.039683,0.040653,0.040653,1765037
2023-01-08,0.040651,0.041018,0.039807,0.040631,0.040631,2164353
2023-01-09,0.040624,0.043204,0.040615,0.041212,0.041212,4313991
2023-01-10,0.041216,0.042414,0.040966,0.041737,0.041737,2834973
2023-01-11,0.041706,0.042083,0.040760,0.041980,0.041980,2342862
2023-01-12,0.042137,0.042222,0.040481,0.041898,0.041898,3957484
2023-01-13,0.041894,0.043250,0.041425,0.042664,0.042664,2975971
2023-01-14,0.042636,0.045983,0.042636,0.044988,0.044988,6962216
2023-01-15,0.045044,0.045534,0.043183,0.044685,0.044685,3277113
2023-01-16,0.044644,0.045808,0.043099,0.044269,0.044269,3900618
2023-01-17,0.044285,0.044518,0.042056,0.042827,0.042827,4737337
2023-01-18,0.042819,0.044738,0.041082,0.041469,0.041469,4994186
2023-01-19,0.041468,0.042575,0.040723,0.041955,0.041955,2642145
2023-01-20,0.041963,0.044188,0.041463,0.044023,0.044023,2902117
2023-01-21,0.044050,0.049607,0.043872,0.047064,0.047064,9573634
2023-01-22,0.047064,0.057914,0.047064,0.050885,0.050885,19545390
2023-01-23,0.050866,0.054166,0.050009,0.051149,0.051149,6936003
2023-01-24,0.051166,0.051921,0.047383,0.047810,0.047810,4976600
2023-01-25,0.047843,0.049424,0.046796,0.049259,0.049259,5664024
2023-01-26,0.049239,0.051643,0.048273,0.050164,0.050164,5299150
2023-01-27,0.050150,0.060720,0.049219,0.054808,0.054808,21483155
2023-01-28,0.054829,0.057291,0.053604,0.054534,0.054534,8262724
2023-01-29,0.054529,0.058636,0.053821,0.057466,0.057466,8779481
2023-01-30,0.057458,0.057975,0.052994,0.053623,0.053623,8144450
2023-01-31,0.053611,0.061737,0.053076,0.058493,0.058493,12394156
2023-02-01,0.058534,0.063485,0.056053,0.059815,0.059815,19986459
2023-02-02,0.059806,0.063128,0.058045,0.058335,0.058335,9949618
2023-02-03,0.058334,0.060199,0.056816,0.059612,0.059612,7202224
2023-02-04,0.059684,0.060271,0.056429,0.056500,0.056500,6600355
2023-02-05,0.056463,0.056937,0.053339,0.053961,0.053961,6971567
2023-02-06,0.053941,0.058400,0.052643,0.055306,0.055306,7886082
2023-02-07,0.055370,0.066187,0.055198,0.064800,0.064800,23517725
2023-02-08,0.064787,0.068149,0.059964,0.068149,0.068149,22008102
2023-02-09,0.068536,0.097281,0.068536,0.076211,0.076211,211789446
2023-02-10,0.076539,0.077250,0.070797,0.075729,0.075729,23316315
2023-02-11,0.075803,0.081761,0.072313,0.079903,0.079903,19183924
2023-02-12,0.079899,0.084779,0.074045,0.074912,0.074912,18219294
2023-02-13,0.074934,0.082900,0.072537,0.076602,0.076602,37925896
2023-02-14,0.076500,0.084483,0.075633,0.079039,0.079039,40962035
2023-02-15,0.079055,0.101031,0.078573,0.096991,0.096991,133659777
2023-02-16,0.096999,0.105239,0.088977,0.090501,0.090501,96924075
2023-02-17,0.090473,0.114538,0.087661,0.104664,0.104664,131807734
2023-02-18,0.104728,0.110082,0.101949,0.104844,0.104844,37796252
2023-02-19,0.104795,0.114880,0.100792,0.102875,0.102875,61107589
2023-02-20,0.102928,0.104981,0.095577,0.097314,0.097314,39827565
2023-02-21,0.097392,0.100141,0.088554,0.092686,0.092686,40907529
2023-02-22,0.092638,0.095203,0.084249,0.089643,0.089643,28452210
2023-02-23,0.089651,0.091828,0.085509,0.089633,0.089633,21496404
2023-02-24,0.089669,0.089803,0.078461,0.080193,0.080193,21990414
2023-02-25,0.080206,0.081377,0.073524,0.078166,0.078166,15963663
2023-02-26,0.078133,0.083052,0.077175,0.081926,0.081926,16306837
2023-02-27,0.081952,0.081952,0.077961,0.080059,0.080059,11511560
2023-02-28,0.080068,0.082448,0.075697,0.075697,0.075697,11600907
2023-03-01,0.075460,0.081505,0.074316,0.081425,0.081425,14597675
2023-03-02,0.081407,0.081714,0.073768,0.076638,0.076638,13206986
2023-03-03,0.076675,0.076894,0.066848,0.069754,0.069754,18144680
2023-03-04,0.069760,0.070496,0.064354,0.066897,0.066897,8206754
2023-03-05,0.066925,0.069241,0.066435,0.066793,0.066793,9269078
2023-03-06,0.066791,0.068120,0.063906,0.067951,0.067951,11138589
2023-03-07,0.068001,0.069835,0.062623,0.065771,0.065771,31616511
2023-03-08,0.065780,0.067704,0.060212,0.060425,0.060425,20240430
2023-03-09,0.060417,0.063823,0.055126,0.056988,0.056988,16609245
2023-03-10,0.057009,0.057918,0.052951,0.057608,0.057608,15950939
2023-03-11,0.057600,0.059560,0.052177,0.055351,0.055351,16758327
2023-03-12,0.055351,0.061119,0.054294,0.061098,0.061098,12814311
2023-03-13,0.061114,0.066527,0.058829,0.065646,0.065646,21870046
2023-03-14,0.065686,0.070007,0.063288,0.067685,0.067685,21539147
2023-03-15,0.067697,0.069550,0.059898,0.061805,0.061805,19290175
2023-03-16,0.061822,0.065529,0.060900,0.065092,0.065092,13813079
2023-03-17,0.065075,0.069218,0.063693,0.069218,0.069218,12764340
2023-03-18,0.069247,0.075568,0.068272,0.070700,0.070700,25218094
2023-03-19,0.070729,0.074614,0.069612,0.070197,0.070197,13503292
2023-03-20,0.070192,0.071902,0.065305,0.065893,0.065893,12156348
2023-03-21,0.065903,0.069980,0.064013,0.069369,0.069369,11939483
2023-03-22,0.069315,0.070705,0.063176,0.063941,0.063941,15156486
2023-03-23,0.063945,0.065688,0.062497,0.065404,0.065404,11423479
2023-03-24,0.065398,0.066357,0.060231,0.062341,0.062341,9787343
2023-03-25,0.062341,0.063036,0.059700,0.060938,0.060938,6186831
2023-03-26,0.060936,0.062412,0.060528,0.062219,0.062219,5030204
2023-03-27,0.062203,0.062208,0.057848,0.060501,0.060501,9854088
2023-03-28,0.060485,0.061619,0.058036,0.061460,0.061460,9138267
2023-03-29,0.061457,0.065317,0.061273,0.064675,0.064675,14524995
2023-03-30,0.064677,0.065843,0.061584,0.063118,0.063118,9547268
2023-03-31,0.063127,0.063552,0.061711,0.062988,0.062988,6836466
2023-04-01,0.062989,0.064624,0.062865,0.063802,0.063802,6823957
2023-04-02,0.064487,0.064562,0.060344,0.061244,0.061244,6341954
2023-04-03,0.061246,0.062826,0.059405,0.062029,0.062029,12129144
2023-04-04,0.062018,0.065741,0.061605,0.064761,0.064761,9802091
2023-04-05,0.064748,0.066549,0.063053,0.065554,0.065554,9384322
2023-04-06,0.065548,0.065558,0.063217,0.063948,0.063948,10159491
